word,word_norm,phon,skeleton,n_tokens,frequency,relevance_mode,category_mode,n_mispronounced,n_meaning_changed,n_dropped,mispron_rate,meaning_change_rate,n_surface_forms,surface_forms,tier,n_variants_kept,variants
दवाई,दवाई,DaBai,DB,1,3757,3,activity_method,657,102,39,0.1749,0.0271,1,दवाई,core,14,दवा (387) | दवाएं (13) | दबाई (7) | दबा (4) | था भाई (4) | दवाइयां (3) | दबाए (2) | दाल (2) | दाव (2) | ज्यादा भाई (2) | भाई (2) | लडाई (1) | दबाने (1) | गंदा भाई (1)
मक्का,मक्का,MaKa,MK,1,3615,4,crop,298,198,26,0.0824,0.0548,1,मक्का,core,15,माका (24) | मक्के (16) | माता (15) | मां का (11) | मक्खन (9) | मकर (9) | मटका (8) | मटर (6) | मकई (4) | का (4) | मुंह (4) | मुक्का (4) | मका (4) | मौका (3) | मां (3)
पेड़,पेड,PeD,PD,1,3577,3,other,360,287,60,0.1006,0.0802,1,पेड़,core,15,पैर (115) | फिर (13) | पे (6) | फेर (6) | खेत (6) | पीर (6) | तेल (5) | पर (5) | पेन (5) | पौधे (3) | फल (3) | पहले (3) | पेपर (2) | बीज (2) | प्लेयर (2)
मौसम,मौसम,MoSaM,MSM,1,3454,3,other,117,45,12,0.0339,0.013,1,मौसम,core,10,समय (2) | मशरूम (2) | असम (1) | शुभ (1) | व्हाट्स अप (1) | शाम (1) | मोशन (1) | बीकोम (1) | निसम (1) | माथा (1)
बीज,बीज,BiJ,BJ,1,3453,4,other,285,203,74,0.0825,0.0588,2,बीज | बीज़,core,15,बीच (76) | भी (8) | ब्रिज (4) | बी (4) | पीस (3) | बिजनेस (3) | बी जो (2) | डिश (2) | बिया (2) | वृक्ष (2) | विच (2) | बीर (2) | बेसल डोज (1) | भेज (1) | बीट (1)
धान,धान,DaN,DN,1,3103,4,crop,245,199,47,0.079,0.0641,1,धान,core,15,धन (25) | ध्यान (14) | आम (9) | दान (7) | भांग (6) | दाल (5) | विधान (5) | दांत (3) | अभिधान (3) | धाम (2) | नाग (2) | धन्यवाद (2) | खाना (2) | दहन (2) | राम (2)
प्याज,प्याज,PYaJ,PYJ,1,3067,4,crop,265,216,68,0.0864,0.0704,2,प्याज | प्याज़,core,12,आज (57) | प्यार (11) | ब्याज (3) | या आज (2) | इलाज (2) | आज के (2) | प्यास (2) | याद (2) | यह आज का (1) | फिर वो गाडी वाला (1) | सारे (1) | हैप्पी बर्थडे (1)
सरसों,सरसों,SaRaSo,SRS,1,3039,4,crop,149,107,27,0.049,0.0352,1,सरसों,core,14,सर (16) | सरसो (13) | सर सो (4) | सांसों (4) | अशोक (3) | सर सुपर (2) | संसो (2) | सब (2) | सर सब (2) | 400 में (2) | सांसो (1) | राष्ट्रपति जी का नाम (1) | सर सर (1) | 700 के (1)
छिड़काव,छिडकाव,CiDaKaB,CDKB,1,3023,3,activity_method,221,164,47,0.0731,0.0543,1,छिड़काव,core,14,छिलका (46) | छिडका (9) | छिलकाव (5) | छेका (3) | काम (3) | क्षेत्र (2) | छिरका (2) | प्रयोग (2) | सिरका (2) | छिलका अब (2) | छुपा (2) | सिर का (2) | स्प्रे (2) | काम करे (1)
मूंग,मूंग,MunK,MK,1,2873,4,crop,316,232,40,0.11,0.0808,2,मूंग | मूँग,core,14,मुंह (68) | मुंग (25) | मोम (11) | मून (9) | गेहूं (9) | नीम (8) | उनकी (4) | उनका (4) | आम (4) | मौन (3) | मूंह (3) | गन्ने (3) | मूव (3) | मूल (2)
खेत,खेत,KeT,KT,1,2827,2,location,217,71,33,0.0768,0.0251,1,खेत,long_tail,12,खेती (37) | क्षेत्र (20) | खेतों (5) | पेड (2) | का क्या क्या (1) | किस (1) | खेर (1) | में (1) | फेंट (1) | की (1) | फसल (1) | फिर भी दे दो (1)
फल,फल,PaL,PL,1,2809,4,concern,166,105,21,0.0591,0.0374,1,फल,core,13,फूल (8) | फर (6) | फलन (5) | फोन (3) | बोल (2) | फैल (2) | फार (2) | फड (2) | कोल (2) | खाद (2) | सफल (1) | थाली (1) | पाल (1)
पीला,पीला,PiLa,PL,1,2697,4,concern,145,101,31,0.0538,0.0374,1,पीला,core,13,पिल्ला (11) | खिला (7) | पिलर (4) | गीला (4) | ढीला (3) | अकेला (3) | किला (2) | कीडा (2) | पीरा (2) | पी रहा (2) | पिलाओ (2) | पिलो (2) | पील (2)
कब,कब,KaB,KB,1,2335,3,other,216,207,136,0.0925,0.0887,1,कब,core,10,कम (8) | क्यों (5) | कौन (3) | क्या (3) | का (3) | अब (3) | कई (2) | काहे को (2) | कहां (2) | विकास करता है (1)
भिंडी,भिंडी,BinDi,BD,1,2301,4,crop,250,219,24,0.1086,0.0952,1,भिंडी,core,15,हिंदी (75) | मेहंदी (9) | बिंदी (6) | इंडिया (5) | मेंढक (3) | भेंडी (3) | ठंडी (3) | झिंडी (2) | मिट्टी (2) | गन्ने (2) | गेंदा (2) | भीमली (2) | गंदी (2) | मेंहदी (2) | डंडेलियन (2)
फूल,फूल,PuL,PL,1,2289,4,growth_stage,139,94,29,0.0607,0.0411,1,फूल,core,14,फल (15) | फुल (14) | फोन (7) | खून (3) | ओल (2) | फुला (2) | फिर (1) | फूलका फूलका (1) | रुके (1) | पूरे दिन (1) | वहां ही (1) | पेन (1) | पुल (1) | फू (1)
गाय,गाय,KaY,KY,1,2266,4,livestock,99,75,24,0.0437,0.0331,1,गाय,core,14,गायक (4) | गाइस (3) | घर (3) | गाइज (3) | गायों (3) | भाई (2) | का (2) | काय (2) | मर गया है (1) | घर का (1) | पशु (1) | काहे कि (1) | पढाई (1) | आज (1)
बैगन,बैगन,BeKaN,BKN,1,2152,4,crop,1162,91,12,0.54,0.0423,1,बैगन,core,15,बैंगन (942) | ड्रैगन (8) | बागन (4) | पैर (3) | बाइबल (2) | घर (2) | खेत (2) | बैग (2) | भाई (2) | बैकग्राउंड (2) | बैलन (2) | मगन (1) | पार्टी (1) | डायमंड (1) | बजाए गाना (1)
टमाटर,टमाटर,TaMaTaR,TMTR,1,2004,4,crop,45,42,7,0.0225,0.021,1,टमाटर,core,14,मटर (6) | तंबाकू (2) | मोटर (2) | माता (2) | तंबाकुल (2) | चना और टर (1) | बादाम (1) | तो मैं अपने (1) | गेहूं (1) | वाटर (1) | चारकी (1) | सर (1) | ऑटो स्टार्ट (1) | पाटर (1)
जानकारी,जानकारी,JaNaKaRi,JNKR,1,1969,3,activity_method,47,29,22,0.0239,0.0147,1,जानकारी,core,8,गाडी (1) | क्रियान करें (1) | सलाह (1) | जंक फूड (1) | जवाब (1) | जन सारी (1) | नहीं है (1) | समझा न कर (1)
वैरायटी,वैरायटी,BeRaYaTi,BRYT,1,1926,2,variety,100,79,23,0.0519,0.041,1,वैरायटी,long_tail,14,भारतीय (4) | वैरायटीज (3) | भरा आटे (2) | भराई (2) | राज्य (2) | पार्टी (2) | व्रत (2) | प्रजाति (2) | उसमें मिला (1) | भरते (1) | विराती (1) | भारत के (1) | उत्तल लेंस (1) | मेरा आईडी (1)
क्या करें,क्या करें,KYaKaRe,KYKR,2,1917,3,activity_method,61,34,11,0.0318,0.0177,1,क्या करें,core,13,क्या करूं (7) | क्या कर रहे हैं (3) | का करें (3) | क्या कारण है (2) | क्या क्या है (1) | क्रिया करें (1) | क्या फिर (1) | क्या कर रहे हो (1) | क्या कर रहा है (1) | इसका क्या कारण है (1) | का करे (1) | क्या तेरा (1) | क्या कहते हैं (1)
प्रयोग,प्रयोग,PRaYoK,PRYK,1,1914,3,activity_method,65,24,16,0.034,0.0125,1,प्रयोग,core,12,उपयोग (19) | छिडकाव (2) | प्रिय (1) | फर्क होना (1) | स्प्रे (1) | प्रयुक्त करने के लिए (1) | प्रकोप (1) | अलग (1) | होता (1) | कपडों को (1) | कर दे (1) | करना (1)
मंजर,मंजर,ManJaR,MJR,1,1896,4,growth_stage,281,91,4,0.1482,0.048,2,मंजर | मंज़र,core,15,मंजन (16) | मंदिर (12) | मुजर (8) | मांजर (7) | मुंजल (7) | मन (6) | मजर (6) | मंजिल (5) | मंजरी (5) | मंजार (5) | मुंजुर (4) | मुंज (2) | मुंजरी (2) | मजा (2) | कमांडर (2)
पाला,पाला,PaLa,PL,1,1863,4,concern,307,190,14,0.1648,0.102,1,पाला,core,15,पालक (49) | पहला (26) | पल्ला (20) | ताला (8) | पला (8) | काला (5) | फला (4) | पाले (3) | पालू (3) | फल (3) | साला (3) | पारा (3) | पालना (2) | पायरिया (2) | फलम (2)
बुवाई,बुवाई,BuBai,BB,1,1836,3,activity_method,138,41,13,0.0752,0.0223,1,बुवाई,core,13,बोआई (36) | बुआई (19) | बोए (10) | बोय (9) | बोया (5) | बोई (5) | कब से करें (1) | बुआ (1) | उगाही (1) | बोवाई (1) | वाई (1) | वोइस सही ढंग से (1) | ब्वोय (1)
चना,चना,CaNa,CN,1,1816,4,crop,304,201,44,0.1674,0.1107,1,चना,core,15,चने (37) | चाइना (16) | चैनल (15) | चन्ना (11) | चाना (9) | जाना (7) | चनों (7) | सेना (7) | चाणक्य (6) | नाम (5) | चलना (4) | चाहना (4) | चमक (3) | सर नाम (3) | क्या ना (3)
पत्ता,पत्ता,PaTa,PT,1,1807,4,concern,236,68,10,0.1306,0.0376,1,पत्ता,core,14,पता (79) | पत्ते (34) | पाता (16) | पौधा (3) | पत्ती (3) | पोटा (1) | पातल (1) | पीका (1) | अर्थात तीन (1) | सब का (1) | खपत (1) | टोस (1) | पातम (1) | त (1)
सिंचाई,सिंचाई,SinCai,SC,1,1751,4,activity_method,55,44,9,0.0314,0.0251,1,सिंचाई,core,14,से चाय (3) | सिचाई (3) | चार्ज (2) | चाय (2) | सचाई (1) | करना (1) | से ट्राई (1) | चेक अप (1) | इस टाइप (1) | स्ट्राइक (1) | नमस्कार (1) | दिन-रात एक करना (1) | ज्यादा करना (1) | सी जाई (1)
उपचार,उपचार,uPaCaR,PCR,1,1746,3,activity_method,87,64,25,0.0498,0.0367,1,उपचार,core,15,चार (5) | उपाय (4) | क्या करें (3) | क्या (3) | विचार (3) | उगाने (2) | उपयोग (2) | चार बार (1) | फ्लावर (1) | प्रचार (1) | तारीफ (1) | बताया (1) | उचार (1) | होता (1) | क्या होता है (1)
पानी,पानी,PaNi,PN,1,1695,4,activity_method,84,43,10,0.0496,0.0254,1,पानी,core,10,फोन (2) | पौनी (1) | बप्पा (1) | खाने को (1) | बाण (1) | पाले (1) | टाइम (1) | जटमटिया वतन (1) | पोन्डे (1) | आने (1)
रोग,रोग,RoK,RK,1,1681,4,concern,121,99,54,0.072,0.0589,1,रोग,core,13,लोग (17) | रोक (5) | रोगों (2) | रोका (2) | रोल (2) | रो (2) | रुक्का (1) | वर्क (1) | रोगा (1) | रोप (1) | रोपा (1) | रोकी (1) | रोड (1)
कितना,कितना,KiTaNa,KTN,1,1668,4,quantity_unit,52,34,21,0.0312,0.0204,1,कितना,core,15,कितने (13) | जितना (2) | हरे (1) | की तरह (1) | टिड्डी (1) | थे (1) | प्रथम (1) | किसका (1) | कि नहीं (1) | 20 किलो (1) | एक (1) | कित (1) | हम के खवा (1) | कितनी बार (1) | इतना (1)
लाही,लाही,LaHi,LH,1,1661,4,concern,377,161,24,0.227,0.0969,1,लाही,core,15,लाई (83) | लाइव (13) | लाहे (12) | लही (12) | लाइक (11) | ला ही (11) | लाइन (8) | लायी (8) | मलाई (8) | राही (7) | लाइ (7) | इलाही (7) | ही (6) | लाइट (6) | ना ही (6)
मकई,मकई,MaKai,MK,1,1572,4,crop,1007,148,20,0.6406,0.0941,1,मकई,core,15,मक्का (395) | मकाई (356) | मक्के (58) | मक्खी (21) | मकोय (9) | मक्खन (8) | मक्काई (6) | मकर (6) | मौका (4) | मक्का ई (4) | मकै (3) | मकाए (3) | मौके (3) | कोई (3) | मगर (3)
मसूर,मसूर,MaSuR,MSR,1,1509,4,crop,314,158,10,0.2081,0.1047,1,मसूर,core,15,मसूद (75) | मशहूर (32) | मशरूम (19) | मसूडे (16) | मासुर (12) | मासूर (12) | मसूरी (7) | मैसूर (7) | लहसुन (4) | सरसों (4) | मांसूर (4) | मौसम (3) | मजदूर (3) | मशीन (3) | मास्टर (3)
उपयोग,उपयोग,uPaYoK,PYK,1,1468,3,activity_method,81,30,17,0.0552,0.0204,1,उपयोग,core,13,प्रयोग (27) | उपयुक्त (7) | उपाय (4) | काम करेगा (1) | उस पर योग (1) | सिंचाई (1) | ऐसा (1) | उपलब्ध (1) | योग (1) | ओके जाता (1) | यूज (1) | बताइए (1) | YouTube करे (1)
समय,समय,SaMaY,SMY,1,1438,3,other,58,31,14,0.0403,0.0216,1,समय,core,11,माह (2) | हुए (1) | सिला (1) | सम (1) | असम में (1) | किस से (1) | महीने (1) | हमारा (1) | सीजन (1) | नाम (1) | सारा पूरी है ना (1)
पौधे,पौधे,PoDe,PD,1,1351,3,growth_stage,216,12,6,0.1599,0.0089,1,पौधे,core,12,पौधा (160) | पौधों (8) | बाजरा (1) | गो भजन के लिए (1) | पावदा (1) | पत्ते (1) | पौध (1) | उदय (1) | पत्तियों (1) | फलां (1) | सेब (1) | पल्ले (1)
डालें,डालें,DaLe,DL,1,1338,3,activity_method,113,26,14,0.0845,0.0194,1,डालें,core,15,डाला (16) | डाले (15) | डालेंगे (11) | डालूं (6) | डालना है (5) | डालेगा (4) | डाला है (4) | है (1) | डाला कौन सा डाला (1) | डाला जाता है (1) | लो (1) | डाल दें (1) | डालिए (1) | दल (1) | डालना (1)
पपीता,पपीता,PaPiTa,PPT,1,1199,4,crop,104,87,14,0.0867,0.0726,1,पपीता,core,15,पिता (25) | कविता (4) | पपीते (4) | सफीता (4) | और पिता (3) | तो पीता (2) | पित्ता (2) | पीता (2) | सीता (2) | वो पिता (2) | प्रतियोगिता (2) | बाकी (1) | पितां (1) | पत्ता (1) | प्रकृति (1)
गेंहू,गेंहू,KenHu,KH,1,1173,4,crop,1097,390,83,0.9352,0.3325,1,गेंहू,core,15,गेहूं (665) | गांव (77) | गहूं (22) | गेम (17) | गोम (7) | घूम (5) | गो होम (4) | गम (4) | मूंग (3) | उनका (3) | ग्रहों (3) | गोहू (3) | गोहम (3) | यहां (3) | मुंह (3)
बकरी,बकरी,BaKaRi,BKR,1,1122,4,livestock,69,56,11,0.0615,0.0499,1,बकरी,core,15,बाकरी (7) | बाकी (4) | बकरा (3) | पक्षी (2) | पशु (2) | मछली (2) | पशु केरी (1) | बस यही पाला (1) | भक्ति (1) | गकरी (1) | पति (1) | आप भी (1) | कफी (1) | पकडी (1) | डाकरी (1)
लगाने,लगाने,LaKaNe,LKN,1,1036,3,activity_method,54,23,11,0.0521,0.0222,1,लगाने,core,13,लगाना (5) | लगवाने (2) | करने (2) | लगने (1) | ले आने (1) | बोने (1) | लगा के (1) | लगाएं (1) | खेती में (1) | उनके आने को (1) | आने (1) | की (1) | लगाओ आने (1)
मटर,मटर,MaTaR,MTR,1,1029,4,crop,109,106,11,0.1059,0.103,1,मटर,core,15,मोटर (37) | टमाटर (18) | मक्का (10) | मास्टर (3) | वाटर (3) | मक्के (2) | मटन (2) | कटहल (1) | मुंह (1) | मोटा (1) | बटर (1) | पानी मोटर (1) | जमात रुक (1) | गर्भ (1) | मात्र (1)
दूध,दूध,DuD,DD,1,1027,4,other,32,21,15,0.0312,0.0204,1,दूध,core,7,दुध (4) | मुझे का कछुआ (1) | जूस (1) | कम (1) | 2 दिन (1) | राजू (1) | दुकान (1)
किस्म,किस्म,KiSM,KSM,1,1024,2,variety,80,57,20,0.0781,0.0557,2,किस्म | क़िस्म,long_tail,13,किस (7) | किस में (7) | किस्त (4) | किस्मत (3) | किस्में (3) | किसिम (3) | केस (3) | काकी (1) | किस-किस में के (1) | में (1) | के संबंध (1) | क्षेत्र (1) | मुक्के (1)
लहसुन,लहसुन,LaHaSuN,LHSN,1,1024,4,crop,55,42,8,0.0537,0.041,1,लहसुन,core,15,लास्ट (4) | लासुन (3) | रासुन (2) | मशरूम (2) | लौसुन (2) | राशन (2) | उजला सन (1) | लोन (1) | लेसन (1) | फसल (1) | सुन लो (1) | लासो (1) | लोन्ग टर्म (1) | होम (1) | सरसों (1)
लगाया,लगाया,LaKaYa,LKY,1,995,3,activity_method,69,30,8,0.0693,0.0302,1,लगाया,core,15,लगाए (8) | लगा (3) | लाया (3) | लगाई (3) | डाला (1) | लगा है (1) | मनाया (1) | लगाई जा रही (1) | ले आया (1) | जाना (1) | लग जाता है (1) | आ रही है (1) | हो गया था (1) | लगाई जाती (1) | व्यवस्था करें (1)
केला,केला,KeLa,KL,1,995,4,crop,113,86,17,0.1136,0.0864,1,केला,core,15,खेला (6) | किला (6) | केरा (4) | अकेला (4) | के ला (3) | तिलक (3) | कीडा (3) | करेला (2) | केले (2) | अंगूर (2) | चेला (2) | के ना (2) | कीरा (2) | के इलाका (2) | खेरा (2)
मशरूम,मशरूम,MaSaRuM,MSRM,1,940,4,crop,42,30,3,0.0447,0.0319,1,मशरूम,core,14,मसूर (6) | बाथरूम (3) | मासूम (2) | अल्लाह (1) | दूसरों (1) | मांसूम (1) | आंखों से आंसू (1) | अफीम (1) | सूरजमुखी (1) | मशरूम्स (1) | नेत्रवासरूम (1) | मनुष्य रूम (1) | मांसुरम (1) | मसरूख (1)
झुलसा रोग,झुलसा रोग,JuLaSaRoK,JLSRK,2,932,4,concern,72,53,10,0.0773,0.0569,1,झुलसा रोग,core,15,झोल सा रोग (5) | जो सर हो (2) | झोल-सा रोग (2) | झुलसा लोग (2) | जो सडा (2) | झुलसा (2) | झुरसा रोग (1) | झूल सारु (1) | झोल सारो (1) | हेलो कल्चर (1) | झूल का रोग (1) | जूस और रोग (1) | जिन सर (1) | घुसा रुका (1) | धूल सर रोग (1)
कितने दिन,कितने दिन,KiTaNeDiN,KTNDN,2,931,4,quantity_unit,173,29,7,0.1858,0.0311,1,कितने दिन,core,12,कितना दिन (100) | कितने दिनों (11) | कितने देर (3) | कितनी दिन (2) | कितना देर (2) | कितने मिनट (1) | कितने महीने (1) | बहुत ही नली (1) | कितना दिन 100 (1) | किस दर (1) | इतने दिन (1) | कितनी देर (1)
कारण,कारण,KaRaN,KRN,1,928,3,other,46,33,18,0.0496,0.0356,1,कारण,core,10,क्या करें (2) | क्या आप लोग (1) | लक्षण (1) | करन (1) | करंट (1) | के बारे में (1) | किसका नाम (1) | दो दिन में (1) | कोल (1) | काम (1)
लीची,लीची,LiCi,LC,1,898,4,crop,67,56,12,0.0746,0.0624,1,लीची,core,15,नीचे (8) | लिची (5) | मिर्ची (4) | लीजिए (2) | किसी (2) | तुलसी (1) | एमबी 6 (1) | किसी का (1) | पीछे के (1) | अरे छी (1) | इनकी (1) | रीति (1) | आइए ना एक (1) | बीजी (1) | नीचे के पैर (1)
बताएं,बताएं,BaTae,BT,1,889,3,activity_method,90,22,20,0.1012,0.0247,2,बताएं | बताएँ,core,13,बता (13) | बताओ (13) | बताइए (5) | बतलाएं (4) | बतावे (4) | होता है (3) | बताना (2) | बताया जाए (2) | बताया (2) | वर्ण (1) | कुछ पता है (1) | बेटा (1) | हां (1)
अच्छा,अच्छा,aCa,C,1,888,3,other,30,12,12,0.0338,0.0135,1,अच्छा,core,9,अच्छी (2) | चाह रहा हूं (1) | अच्छे (1) | देखूं मैं (1) | सा (1) | शहर (1) | उपयुक्त (1) | छप (1) | बंधन (1)
घास,घास,KaS,KS,1,875,4,concern,59,41,10,0.0674,0.0469,1,घास,core,14,खास (5) | घाव (2) | हाथ (2) | खांसी और सर्दी (1) | कोल सुखी (1) | गौत (1) | अट्टा घोस (1) | हाउस (1) | घोंस (1) | खांसी (1) | दाद (1) | पास (1) | ब्लास्ट (1) | क्या हुआ (1)
सूख रहा है,सूख रहा है,SuKaRaHaHe,SKRHH,3,874,4,concern,189,25,3,0.2162,0.0286,1,सूख रहा है,phrase,14,सुख रहा है (155) | सूख रहा था (3) | सूख रहे हैं (2) | सुख राज (1) | सो रहा है (1) | क्या कर रहे हो (1) | चुभ रहा है (1) | सुकरा (1) | छुप रहा है (1) | सुखा रहा है (1) | सुख राम (1) | सूख गया है (1) | शुक्र राशि का (1) | सुग रहा है (1)
कीट,कीट,KiT,KT,1,873,4,concern,159,27,8,0.1821,0.0309,1,कीट,core,15,किट (106) | कीडा (3) | की (2) | सीट (1) | थ्रिप्स (1) | ड्रग (1) | किस कौन किस (1) | चीज (1) | तेतुल (1) | कीटो (1) | गेट (1) | अकीट (1) | पितुवा (1) | चित्र (1) | कीडे (1)
पटवन,पटवन,PaTaBaN,PTBN,1,862,3,activity_method,217,125,9,0.2517,0.145,1,पटवन,core,15,पार्ट वन (31) | पटन (17) | पोटाश (7) | पतन (6) | पटवार (5) | पाटन (4) | पानी (4) | पट वन (4) | पैटर्न (4) | पट्टन (4) | पनवट (3) | कट वन (3) | पटवान (3) | पेट्रोल (3) | पार्ट (3)
लगाएं,लगाएं,LaKae,LK,1,849,3,activity_method,261,72,2,0.3074,0.0848,2,लगाएं | लगाएँ,core,15,लगाए (87) | लगा है (58) | लगा (43) | लगाया (16) | लगाए हैं (10) | लगाऊं (7) | लगाया है (4) | लगाना है (3) | लगाया जाए (2) | लगा रहे हैं (2) | लगे (2) | लगा रहे हो (2) | लेकर आए (1) | लगा दें (1) | लगा ये उठा (1)
पालन,पालन,PaLaN,PLN,1,848,3,activity_method,41,30,11,0.0483,0.0354,1,पालन,core,13,उत्पादन (3) | पाला (2) | गोपालन (2) | लाने लगी है (1) | पराम (1) | मधुपालन (1) | वश में करना (1) | पान पान (1) | पल ओके (1) | बैलेंस (1) | पाक (1) | फलम (1) | पाला जाए (1)
करें,करें,KaRe,KR,1,830,3,activity_method,39,21,6,0.047,0.0253,1,करें,core,13,करूं (5) | है (2) | करेंगे (2) | कर रहे हैं (2) | कर रही है (2) | तेरा (1) | लगाएं (1) | बता (1) | था (1) | कहते हैं (1) | चल ले (1) | करे (1) | शुक्र है (1)
कद्दू,कद्दू,KaDu,KD,1,827,4,crop,34,26,7,0.0411,0.0314,1,कद्दू,core,15,खादों (1) | खाद (1) | कटु (1) | कादू (1) | हाय की बकरी (1) | कद्दूम (1) | दुख (1) | कोदू (1) | कद्दुआ (1) | बकरी (1) | खरबूज (1) | पत्तू (1) | गेंदे (1) | काजू (1) | पेड (1)
अभी,अभी,aBi,B,1,807,3,other,51,36,23,0.0632,0.0446,1,अभी,core,12,भी (15) | हमें (1) | आज भी (1) | आप (1) | आज (1) | यह (1) | वह भी (1) | अब (1) | भाई (1) | ऐसे (1) | के (1) | हां जी (1)
देना,देना,DeNa,DN,1,801,3,activity_method,52,20,13,0.0649,0.025,1,देना,core,11,दे (12) | डालना (5) | कहेंगे (1) | दिया जाएगा (1) | दबाना (1) | होगा (1) | खिलाना (1) | जरूरत है (1) | डालें (1) | आना (1) | आते हैं (1)
मिट्टी,मिट्टी,MiTi,MT,1,790,4,other,41,27,8,0.0519,0.0342,1,मिट्टी,core,14,मीठी (3) | मृत्यु (3) | समिति (2) | नीति (2) | नेत्र (1) | निक्की (1) | नृत्य (1) | मैट्रिक (1) | मट्टी (1) | बेटे (1) | सिमिट्री (1) | लीची (1) | मीटिंग (1) | मति (1)
बीमारी,बीमारी,BiMaRi,BMR,1,789,4,concern,35,16,5,0.0444,0.0203,1,बीमारी,core,13,बीमार (3) | बीमारियां (2) | दिमाग (2) | विटामिन (1) | बीमारियों (1) | क्वालिफिकेशन (1) | फोन (1) | बीमार एडी (1) | मुख्य क्रिया (1) | थैलेसीमिया (1) | दिनाई (1) | भूखा बेन माडी (1) | मुजाहिद मारी (1)
सब्जी,सब्जी,SaBJi,SBJ,1,767,4,crop,43,26,5,0.0561,0.0339,1,सब्जी,core,12,सब (4) | सबजी (2) | सभी (2) | शब्द (2) | सक्सेस (1) | साहब जी (1) | सब कुछ (1) | सव्य (1) | सावजी (1) | समझ (1) | सोयाबीन (1) | सब्जियां (1)
