anchor,candidate,label,confidence,gloss_anchor,gloss_candidate,cue,phon_sim,observed_confusions,freq_anchor,risk
आम,शाम,DIFF_MEANING,0.9,mango,evening,"शाम refers to time of day, आम refers to the fruit",0.667,11,4203,15.18
आम,अब,DIFF_MEANING,0.8,mango,now,"अब is a temporal adverb, आम is a fruit/crop noun",0.8,6,6,14.0
आम,अमरूद,DIFF_MEANING,0.9,mango,guava,"अमरूद refers to guava fruit/tree, distinct from mango despite both being orchard crops",0.5,3,554,10.01
आम,अमरुद,DIFF_MEANING,0.9,mango,guava (spelling variant),"अमरुद refers to guava fruit/tree, distinct from mango",0.5,2,126,7.96
आम,अमदूर,DIFF_MEANING,0.75,mango,guava (dialect/misspelling variant),"अमदूर likely a mishearing of अमरूद (guava), still distinct fruit from mango",0.5,1,32,5.91
आम,अमदुर,DIFF_MEANING,0.75,mango,guava (dialect/misspelling variant),"अमदुर likely a mishearing of अमरुद (guava), still distinct fruit from mango",0.5,1,9,5.28
खाद,खाद्य,DIFF_MEANING,0.85,fertilizer/manure,food/edible (adj),"खाद्य पदार्थ = food item, vs खाद डालना = apply fertilizer",0.75,194,4772,77.26
खाद,खा,DIFF_MEANING,0.85,fertilizer/manure,eat (verb root),context of eating food vs applying to soil,0.667,18,12,19.16
खाद,खाना,DIFF_MEANING,0.85,fertilizer/manure,food / to eat,खाना खाना (eat food) vs खाद डालना (apply fertilizer),0.625,7,4772,15.19
खाद,खड़,DIFF_MEANING,0.7,fertilizer/manure,"standing (as in standing crop, खड़ी फसल)",खड़ी फसल (standing crop) context vs खेत में खाद डालना,1.0,2,23,14.02
खाद,कद्दू,DIFF_MEANING,0.8,fertilizer/manure,pumpkin,cropped named as vegetable vs input applied to field,0.875,1,827,13.29
खाद,खर,DIFF_MEANING,0.6,fertilizer/manure,weed (root of खरपतवार),खरपतवार निकालना (weeding) vs खाद डालना (fertilizing),0.667,3,20,10.45
खाद,खास,DIFF_MEANING,0.8,fertilizer/manure,special/particular,खास किस्म (special type) vs खाद (fertilizer) unrelated adjective use,0.667,3,4772,10.12
खाद,कदुआ,DIFF_MEANING,0.75,fertilizer/manure,pumpkin (regional term),crop name context vs fertilizer application context,0.8,1,51,9.93
खाद,खाते,DIFF_MEANING,0.7,fertilizer/manure,account(s) / eat (plural),बैंक खाते (bank account) or खाना खाते हैं (eating) vs खाद डालना,0.775,2,5,9.44
खाद,खर्च,DIFF_MEANING,0.8,fertilizer/manure,expense/cost,खर्च होना (cost incurred) vs खाद डालना (applying fertilizer),0.5,3,16,7.68
फसल,फल,DIFF_MEANING,0.9,crop/harvest,fruit,"फल refers to the fruit produced by a plant, फसल refers to the whole crop/harvest",0.7,7,2809,21.35
फसल,फसलों,SAME_WORD,0.97,crop,crops (oblique plural),,0.917,5,6597,19.22
फसल,फसलें,SAME_WORD,0.97,crop,crops (direct plural),,0.917,2,6597,13.57
फसल,पशु,DIFF_MEANING,0.9,crop,animal/livestock,"पशु appears with feeding, health, or veterinary context, फसल with sowing/harvesting",0.68,3,161,12.89
फसल,पौधा,DIFF_MEANING,0.75,crop (whole harvest),plant (individual),"पौधा refers to a single plant/seedling, फसल refers to the entire field crop",0.52,2,3915,10.71
फसल,पत्ता,DIFF_MEANING,0.85,crop,leaf,"पत्ता used when discussing leaves (disease spots, color), फसल when discussing the whole field",0.6,1,1807,9.78
फसल,सफल,DIFF_MEANING,0.85,crop,successful,"सफल is an adjective describing success, फसल is a noun for crop",0.6,2,6597,9.49
फसल,पहला,DIFF_MEANING,0.8,crop,first (masc. ordinal),"पहला marks order/sequence (first sowing/first spray), फसल names the crop itself",0.85,0,255,6.09
फसल,पहले,DIFF_MEANING,0.8,crop,before/earlier,"पहले indicates time reference (before doing X), unrelated to naming a crop",0.85,0,196,5.98
फसल,पहली,DIFF_MEANING,0.8,crop,first (fem. ordinal),"पहली qualifies feminine nouns for order (first harvest), फसल is the crop noun itself",0.85,0,59,5.47
कीड़ा,कीड़े,SAME_WORD,0.95,insect/pest (sing.),insects/pest (plural),"plural inflection of same noun, e.g. 'कीड़े लग गए' vs 'कीड़ा लगा'",0.9,59,5246,57.11
कीड़ा,किड़ा,SAME_WORD,0.9,insect/pest,insect/pest (nukta-less spelling),"identical pronunciation, just missing nukta in spelling",1.0,34,40,41.87
कीड़ा,खीरा,DIFF_MEANING,0.85,insect/pest,cucumber,"context of crop/vegetable name vs pest complaint, e.g. 'खीरा लगाया' (planted cucumber) vs 'कीड़ा लग गया' (pest infested)",0.75,37,5246,39.15
कीड़ा,कीड़ों,SAME_WORD,0.95,insect/pest,insects (oblique plural),"oblique plural form used before postposition, e.g. 'कीड़ों से बचाव'",0.9,9,5246,22.39
कीड़ा,केला,DIFF_MEANING,0.85,insect/pest,banana,"crop name context, e.g. 'केला के पेड़' vs pest complaint about crop damage",0.65,7,5246,18.33
कीड़ा,पीला,DIFF_MEANING,0.85,insect/pest,yellow (color),"describes leaf/fruit color, e.g. 'पत्ता पीला हो गया' vs 'कीड़ा लग गया'",0.5,11,5246,17.77
कीड़ा,किया,DIFF_MEANING,0.85,insect/pest,"did (verb, past tense)","auxiliary/main verb in sentence, e.g. 'छिड़काव किया' vs noun 'कीड़ा लगा'",0.75,8,18,16.46
कीड़ा,कीट,SAME_MEANING,0.85,insect/pest (colloquial),insect/pest (formal term),"both refer to crop pests, कीट used in formal/agricultural advisory speech",0.775,3,873,16.24
कीड़ा,गिरा,DIFF_MEANING,0.85,insect/pest,"fell (verb, past tense)","describes something falling, e.g. 'फल गिरा' vs 'कीड़ा लगा'",0.75,7,5246,14.87
कीड़ा,किट,SAME_MEANING,0.7,insect/pest,insect/pest (spelling variant of कीट),"used interchangeably with कीट in pest-control context, e.g. 'किट लग गया'",0.775,3,66,13.51
मक्का,मकई,SAME_MEANING,0.95,maize/corn,maize/corn (regional synonym),both refer to the maize crop; interchangeable in farmer speech,0.9,399,1572,146.81
मक्का,मक्के,SAME_WORD,0.97,maize (direct case),maize (oblique/plural inflection),"same lemma, oblique case e.g. मक्के की फसल vs मक्का बोना",0.9,19,3615,33.35
मक्का,मटर,DIFF_MEANING,0.9,maize/corn,pea,"मटर refers to pea pods/vines, distinct crop and season from maize",0.6,16,3615,22.7
मक्का,माता,DIFF_MEANING,0.85,maize/corn,mother/goddess,"माता used in religious/family context (e.g. दुर्गा माता), not farming",0.75,21,3615,21.25
मक्का,मकइ,SAME_MEANING,0.9,maize/corn,maize (dialect spelling),"regional/dialectal spelling of मकई, same referent",0.9,8,14,18.68
मक्का,मकाई,SAME_MEANING,0.9,maize/corn,maize (spelling variant),"alternate spelling of मकई, same referent",0.9,5,11,15.44
मक्का,मिर्चा,DIFF_MEANING,0.9,maize/corn,chili pepper,"मिर्चा refers to chili plant/spice, unrelated crop to maize",0.48,4,3615,10.46
मक्का,मुंह,DIFF_MEANING,0.85,maize/corn,mouth,"मुंह refers to body part, appears in health/animal context not crop names",0.475,4,3615,8.31
मक्का,बकरे,DIFF_MEANING,0.85,maize/corn,goats,"बकरे refers to livestock (goats), context of animal husbandry not crops",0.683,1,33,7.99
मक्का,मोथा,DIFF_MEANING,0.85,maize/corn,nutgrass/purple nutsedge (weed),"मोथा is a troublesome weed discussed in pest/weed control context, not the maize crop itself",0.65,1,3615,7.77
उपाय,उपज,DIFF_MEANING,0.85,remedy/measure,yield/produce,"उपज refers to harvest quantity, उपाय refers to a solution/action to take",0.9,5,371,21.11
उपाय,उपचार,SAME_MEANING,0.7,remedy/solution,treatment/cure,"both used when asking what to do about a crop disease/pest, e.g. 'रोग का उपाय/उपचार क्या है'",0.583,9,1746,18.72
उपाय,उपयोग,DIFF_MEANING,0.85,remedy/measure,use/usage,"उपयोग refers to using something (e.g. fertilizer), उपाय refers to a solution to a problem",0.75,4,1468,17.86
उपाय,रोपाई,DIFF_MEANING,0.9,remedy/measure,transplanting (seedlings),"रोपाई refers to planting activity, उपाय to a corrective action/solution",0.48,12,5329,15.95
उपाय,फायदा,DIFF_MEANING,0.85,remedy/measure,benefit/advantage,"फायदा is a positive outcome, उपाय is an action/step to take",0.583,7,5329,15.3
उपाय,ऊपर,DIFF_MEANING,0.9,remedy/measure,above/on top,"ऊपर is spatial (on top of), उपाय is a solution/remedy",0.75,5,5329,14.51
उपाय,उपाए,SAME_WORD,0.9,remedy/measure,remedy/measure (spelling variant),,0.7,5,7,11.93
उपाय,पता,DIFF_MEANING,0.75,remedy/measure,address/knowledge (to know),"पता is about knowing/address, उपाय is about a solution to take",0.5,3,5329,8.88
उपाय,उगाये,DIFF_MEANING,0.8,remedy/measure,grew/cultivated (verb form),"उगाये refers to growing a crop, उपाय refers to a corrective measure",0.7,1,19,8.07
उपाय,रोपाया,DIFF_MEANING,0.8,remedy/measure,planted (verb form),"रोपाया refers to the act of planting, उपाय refers to a solution/step",0.683,1,5329,7.91
प्याज,आज,DIFF_MEANING,0.95,onion,today,"'आज' means 'today', appears in time context like 'आज कल' vs onion in crop context",0.5,57,290,29.28
प्याज,पियाज,SAME_WORD,0.9,onion,onion (dialect spelling),regional pronunciation variant of प्याज,0.9,15,20,24.19
प्याज,प्यार,DIFF_MEANING,0.95,onion,love,"प्यार refers to affection/love, not a crop, context of relationships vs farming",0.75,21,3067,22.5
धान,धन,DIFF_MEANING,0.95,paddy/rice crop,wealth/money,context of harvesting/sowing vs money/income talk,1.0,28,7,31.46
धान,ध्यान,DIFF_MEANING,0.9,paddy/rice crop,attention/focus,'ध्यान दें' (pay attention) vs crop name in farming sentence,0.75,15,3103,18.52
धान,दाल,DIFF_MEANING,0.9,paddy/rice crop,lentil/pulse,"different crop type mentioned, e.g. दाल की खेती vs धान की खेती",0.667,9,104,16.92
धान,धाम,UNRELATED,0.85,paddy/rice crop,holy pilgrimage site/abode,"धाम refers to religious place, unlikely in farming context",0.867,7,3103,15.8
धान,दाना,DIFF_MEANING,0.8,paddy/rice crop,grain/seed/granule (e.g. fertilizer granule),"दाना used generically for grain or pesticide granules, not specifically paddy",0.875,2,351,14.68
धान,गन्ना,DIFF_MEANING,0.9,paddy/rice crop,sugarcane,"different crop, e.g. गन्ने की फसल vs धान की फसल",0.625,3,386,11.95
धान,खाना,DIFF_MEANING,0.9,paddy/rice crop,food/to eat,"खाना refers to eating/food, not a crop name",0.625,2,129,9.73
धान,दांत,DIFF_MEANING,0.9,paddy/rice crop,teeth,"दांत refers to teeth, unrelated to crop context",0.65,3,18,9.71
धान,धनिया,DIFF_MEANING,0.9,paddy/rice crop,coriander,"different crop, e.g. धनिया की खेती vs धान की खेती",0.667,1,451,9.44
मौसम,मशरूम,DIFF_MEANING,0.9,weather/season,mushroom (edible fungus),context of crop cultivation (मशरूम उगाना) vs weather forecast talk (मौसम कैसा रहेगा),0.729,2,940,13.19
मौसम,मसूर,DIFF_MEANING,0.85,weather/season,lentil (masoor dal crop),talk of sowing/harvesting a pulse crop vs discussing rain/temperature,0.6,3,1509,12.68
मौसम,शाम,DIFF_MEANING,0.85,weather/season,evening (time of day),reference to time like शाम को (in the evening) vs season/weather condition,0.7,1,3454,7.25
मौसम,मौसमी,DIFF_MEANING,0.75,weather/season,sweet lime/mosambi fruit or seasonal fruit,talk of a specific citrus fruit crop vs general weather/season discussion,0.917,0,3454,4.79
मौसम,मोचा,DIFF_MEANING,0.6,weather/season,banana flower/blossom (used in cooking) or Mocha,context of vegetable/produce naming vs weather forecast,0.72,0,18,3.98
मौसम,इस मौसम,SAME_WORD,0.9,weather/season,this season (phrase containing anchor),,0.75,0,7,3.79
मौसम,मोटाने,DIFF_MEANING,0.8,weather/season,"to fatten/plump up (verb, e.g. crop growth)",context of crop or livestock growth method vs weather description,0.683,0,9,3.54
मूंग,मुंग,SAME_WORD,0.95,mung bean/green gram,mung bean (spelling variant),,1.0,85,94,63.92
मूंग,मुंह,DIFF_MEANING,0.95,mung bean crop,mouth/face,context of body/animal vs crop sowing/harvest talk,0.625,74,32,34.31
मूंग,मूंगा,DIFF_MEANING,0.85,mung bean crop,coral/moonga silk,jewelry/silk vs pulse crop context,0.9,3,2873,13.76
मूंग,गेंहू,DIFF_MEANING,0.9,mung bean crop,wheat crop,rabi wheat sowing vs kharif moong pulse context,0.5,3,1173,10.27
मूंग,मूंगफली,DIFF_MEANING,0.9,mung bean crop,peanut/groundnut crop,oilseed groundnut context vs pulse moong context,0.611,1,2873,7.64
मूंग,नींबू,DIFF_MEANING,0.9,mung bean crop,lemon fruit crop,citrus orchard context vs pulse field context,0.5,1,492,7.08
मूंग,ऊख,DIFF_MEANING,0.9,mung bean crop,sugarcane crop,sugarcane cutting/juicing context vs moong pulse context,0.625,1,17,6.75
मूंग,लौंग,DIFF_MEANING,0.9,mung bean crop,clove spice,spice/kitchen garden context vs pulse crop context,0.65,1,2873,6.54
मूंग,मुर्गी,DIFF_MEANING,0.9,mung bean crop,hen/chicken livestock,poultry feeding/disease context vs pulse sowing context,0.7,0,382,4.87
मूंग,मुड़ी,DIFF_MEANING,0.8,mung bean crop,bent/turned (crop wilting concern),complaint about plant bending/wilting vs naming the crop,0.5,1,5,4.79
बीज,बीच,DIFF_MEANING,0.9,seed,middle/among,'बीच में' (in between) context vs 'बीज बोना' (sow seed),0.867,153,94,73.54
बीज,बिज,SAME_WORD,0.8,seed,seed (short-vowel spelling),,1.0,17,22,28.81
बीज,बिया,SAME_MEANING,0.6,seed,seed (regional/dialect term),"used in rural dialects for seed, same referent",0.775,6,90,16.91
बीज,बीजा,SAME_WORD,0.75,seed,seed (inflected/spelling variant),,0.875,3,3453,13.06
बीज,बिजी,DIFF_MEANING,0.85,seed,busy (Hindi-English loanword),'बिजी हूँ' (I am busy) vs talk of sowing/seeds,0.875,4,6,13.06
बीज,बीजी,SAME_MEANING,0.55,seed (noun),seeded/sown (verb form),used as action word e.g. 'खेत बीजी' (field sown) referring to seeding activity,0.875,3,3453,11.68
बीज,बिचा,DIFF_MEANING,0.6,seed,"sold (बेचा, past tense of sell)","context of selling produce, e.g. 'फसल बिचा दी' vs seed-buying talk",0.775,3,11,11.17
बीज,बीजों,SAME_WORD,0.9,seed,seeds (oblique plural),,0.875,2,3453,10.94
बीज,बिच्ची,DIFF_MEANING,0.6,seed,scorpion/worry (बिच्छू or concern),"used in context of pest/scorpion sting or worry, not planting",0.775,1,27,8.87
बीज,बीया,SAME_MEANING,0.6,seed,seed (regional/dialect spelling),"dialectal pronunciation for seed, same referent as बीज",0.775,1,3453,8.75
छिड़काव,छिलका,DIFF_MEANING,0.9,spraying (of pesticide/fertilizer),"peel/husk (of fruit, grain)",talks about removing skin/husk of produce vs applying spray to crops,0.714,47,3023,28.35
छिड़काव,छिड़का,SAME_WORD,0.85,spraying (noun),sprinkled/sprayed (past tense verb),"same root छिड़कना, verb vs noun form",0.857,9,25,19.27
छिड़काव,छिलकाव,SAME_WORD,0.55,spraying (noun),garbled/misspelled variant of छिड़काव,"ASR misrendering of स्प्रे action, not a real distinct word",0.857,11,3023,18.7
छिड़काव,छिड़कें,SAME_WORD,0.85,spraying (noun),let them spray (subjunctive verb),"same root, imperative/subjunctive inflection",0.8,1,3023,9.08
छिड़काव,काम,DIFF_MEANING,0.9,spraying (pesticide application),work/task (generic),context of general labor/task vs specific chemical spraying,0.514,3,109,8.93
छिड़काव,छिड़काएं,SAME_WORD,0.85,spraying (noun),"spray (imperative, causative)","same root verb form, command to spray",0.829,1,5,7.99
छिड़काव,छिड़के,SAME_WORD,0.85,spraying (noun),sprays (subjunctive verb),inflected verb form of same root,0.8,0,3023,4.8
छिड़काव,छिड़कने,SAME_WORD,0.85,spraying (noun),to sprinkle (oblique infinitive),infinitive form of same root verb,0.812,0,23,4.53
छिड़काव,छिड़कना,SAME_WORD,0.85,spraying (noun),to sprinkle (infinitive),infinitive form of same root verb,0.812,0,22,4.51
छिड़काव,छिड़काना,SAME_WORD,0.8,spraying (noun),to cause to sprinkle (causative infinitive),causative form of same root verb,0.812,0,8,4.11
फल,फर,UNRELATED,0.55,fruit,fur/unclear word,"फर is not a standard agri term; likely ASR noise, not confusable in meaning",0.867,49,103,43.61
फल,फूल,DIFF_MEANING,0.9,fruit,flower,"फूल used when talking about blossoming/flowering stage, फल used when talking about fruit set/harvest",0.8,23,2809,36.35
फल,पाला,DIFF_MEANING,0.9,fruit,frost,"पाला appears with cold weather/damage context, फल appears with harvest/yield context",0.875,3,1863,18.49
फल,फलन,SAME_MEANING,0.7,fruit,fruiting (process of bearing fruit),"फलन refers to the fruiting stage/process, closely tied to फल the fruit itself",0.7,9,2809,15.98
फल,फुल,DIFF_MEANING,0.85,fruit,flower (spelling variant of फूल),"फुल/फूल used for flowering stage, not fruit",0.8,3,2809,14.19
फल,पाल,DIFF_MEANING,0.7,fruit,to rear/keep (verb) or sail,"पाल used in context of rearing animals/keeping something, not fruit",1.0,1,42,11.68
फल,फली,DIFF_MEANING,0.75,fruit,pod (of legume),"फली used specifically for bean/pea pods, फल is generic fruit term",0.875,1,2809,10.22
फल,फलों,SAME_WORD,0.95,fruit,fruits (oblique plural),,0.875,1,2809,9.58
सरसों,सरसो,SAME_WORD,0.97,mustard,"mustard (spelling variant, no anusvara)",,1.0,247,314,115.1
सरसों,सर,DIFF_MEANING,0.85,mustard,head/sir (honorific or body part),"'सर' used as address/title or head, no crop context; सरसों appears with तेल/बीज/फसल",0.667,16,6,16.38
सरसों,सांसों,DIFF_MEANING,0.85,mustard,breaths (plural of सांस),"सांसों appears in health/breathing context, not with खेत/बीज/तेल",0.75,9,3039,14.74
सरसों,राई,SAME_MEANING,0.6,mustard (सरसों),mustard/rai (Brassica juncea variety),"both refer to mustard crop; राई often used for the seed/spice form, सरसों for plant/oil crop",0.483,7,213,11.79
सरसों,लहसुन,DIFF_MEANING,0.9,mustard,garlic,"लहसुन appears with बुवाई/कंद/लहसुन की खेती, distinct crop from mustard",0.514,1,1024,7.69
सरसों,सहजन,DIFF_MEANING,0.85,mustard,drumstick/moringa tree,"सहजन refers to tree crop (moringa), context of पेड़/फली not तेल/बीज",0.514,1,3039,6.4
सरसों,सब,DIFF_MEANING,0.7,mustard,all/everything (generic quantifier),"सब used generically e.g. 'सब फसल' meaning 'all crops', not naming a crop itself",0.5,2,6,5.93
सरसों,करायला,DIFF_MEANING,0.85,mustard,bitter gourd (karela),"करायला/करेला is a vegetable crop, appears with सब्जी/बेल context, unlike oilseed सरसों",0.512,1,13,5.43
सरसों,सलाह,DIFF_MEANING,0.85,mustard,advice/recommendation,"सलाह used in phrases like 'कृषि सलाह' (farm advice), not naming a crop",0.683,0,3039,3.87
कब,कम,DIFF_MEANING,0.9,when,less/reduced,कम used with quantity nouns e.g. 'पानी कम है' vs कब used with verbs asking timing e.g. 'कब डालें',0.867,10,2335,25.01
कब,अब,DIFF_MEANING,0.85,when,now,अब refers to present moment ('अब क्या करें') vs कब asks for a future/past time point,0.667,3,6,8.71
कब,कब-कब,SAME_WORD,0.9,when,"when (reduplicated, 'on which occasions')","reduplication of कब, same root question word, just emphatic/plural form",0.571,2,2335,8.53
कब,कौन,DIFF_MEANING,0.9,when,who,कौन asks for person identity ('कौन सी दवा') vs कब asks for time,0.533,3,2335,7.41
